table_name,table_description,column_name,ordinal_position,data_type,character_maximum_length,is_nullable,column_default,column_description,sensitivity,is_primary_key,foreign_key_references
analytical_marker,"Maps answer codes to the kinds of serious harm they indicate, so reporting can count incidents involving, say, a hospital admission without hard-coding a list of answer codes. Reference data derived from the AnalyticalMarkerType enumeration - it is about the question set, not about any person, and contains no personal data. One answer can carry several markers, hence the composite key.",response_code,1,character varying,60,NO,,Answer code this marker applies to. Matches response.code and historical_response.code. Deliberately not a foreign key - see the note in V1_14 about the reference tables.,NONE,Y,
analytical_marker,"Maps answer codes to the kinds of serious harm they indicate, so reporting can count incidents involving, say, a hospital admission without hard-coding a list of answer codes. Reference data derived from the AnalyticalMarkerType enumeration - it is about the question set, not about any person, and contains no personal data. One answer can carry several markers, hence the composite key.",marker_type,2,character varying,60,NO,,"What the answer indicates: SERIOUS_INJURY, SEXUAL_ASSAULT, MEDICAL_TREATMENT_REQUIRED, HOSPITAL_ADMISSION, TRANSMITTABLE_INFECTIOUS_DISEASE, SALIVA_HIT_BODY, HIT_NECK_OR_ABOVE or WEAPON_URINE. Note that this table says which answers are serious, not which reports were - joining it to response is what makes a report's content special category, not this table on its own.",NONE,Y,
constant_prisoner_outcome,"The outcomes that can follow for a prisoner involved in an incident, for reporting. Copy of the PrisonerOutcome enumeration.",code,1,character varying,60,NO,,The outcome code as stored in prisoner_involvement.outcome.,NONE,Y,
constant_prisoner_outcome,"The outcomes that can follow for a prisoner involved in an incident, for reporting. Copy of the PrisonerOutcome enumeration.",sequence,2,integer,,NO,,Display order for the outcome.,NONE,N,
constant_prisoner_outcome,"The outcomes that can follow for a prisoner involved in an incident, for reporting. Copy of the PrisonerOutcome enumeration.",description,3,character varying,60,NO,,Human-readable name of the outcome.,NONE,N,
constant_prisoner_role,"The ways a prisoner can be involved in an incident, for reporting. Copy of the PrisonerRole enumeration.",code,1,character varying,60,NO,,The role code as stored in prisoner_involvement.prisoner_role.,NONE,Y,
constant_prisoner_role,"The ways a prisoner can be involved in an incident, for reporting. Copy of the PrisonerRole enumeration.",sequence,2,integer,,NO,,Display order for the role.,NONE,N,
constant_prisoner_role,"The ways a prisoner can be involved in an incident, for reporting. Copy of the PrisonerRole enumeration.",description,3,character varying,60,NO,,Human-readable name of the role.,NONE,N,
constant_staff_role,"The ways a member of staff can be involved in an incident, for reporting. Copy of the StaffRole enumeration.",code,1,character varying,60,NO,,The role code as stored in staff_involvement.staff_role.,NONE,Y,
constant_staff_role,"The ways a member of staff can be involved in an incident, for reporting. Copy of the StaffRole enumeration.",sequence,2,integer,,NO,,Display order for the role.,NONE,N,
constant_staff_role,"The ways a member of staff can be involved in an incident, for reporting. Copy of the StaffRole enumeration.",description,3,character varying,60,NO,,Human-readable name of the role.,NONE,N,
constant_status,"The statuses a report can hold, for reporting. Copy of the Status enumeration, with the plain-English definition shown to users and a flag for the statuses downstream consumers should skip.",code,1,character varying,60,NO,,"The status code as stored in report.status and status_history.status, for example DRAFT or AWAITING_REVIEW.",NONE,Y,
constant_status,"The statuses a report can hold, for reporting. Copy of the Status enumeration, with the plain-English definition shown to users and a flag for the statuses downstream consumers should skip.",sequence,2,integer,,NO,,Display order for the status.,NONE,N,
